date,open,high,low,close,range,change,action
2010-06-29,-0.007386409619791274,-0.004560149775981453,-0.005206315899871534,-0.0015128530671597554,0.0006461661238900806,0.005873556552631519,0
2010-06-30,-7.718191195503965e-05,0.00041469436364578033,-0.0014795426037827126,0.0010312910267693818,0.0018942369674284929,0.0011084729387244214,0
2010-07-01,0.001963657991660682,0.0024013333913675185,0.001838548045492649,0.0011684439560209051,0.0005627853458748692,-0.000795214035639777,0
2010-07-02,0.001793428495605174,0.002173131504087248,-0.00034530101599403455,0.001167181285685802,0.002518432520081283,-0.000626247209919372,0
2010-07-06,-0.0009128302358465924,-0.0014003070687622957,-0.0013522004485086148,-0.00010020849944281768,-4.810662025368101e-05,0.0008126217364037745,0
2010-07-07,8.997606671031129e-05,-0.004852084796436891,-0.0036628001464926556,-0.006691670221499047,-0.0011892846499442352,-0.006781646288209358,0
2010-07-08,-0.007485450916089117,-0.0066774789849540555,-0.008617520510590747,-0.007696839863259504,0.0019400415256366913,-0.00021138894717038711,0
2010-07-09,-0.006911570895495539,-0.008095427599933003,-0.010314886351828543,-0.009798703983841538,0.00221945875189554,-0.002887133088345998,0
2010-07-12,-0.008763758471633942,-0.00966193447231212,-0.01142267755981759,-0.010107716448082085,0.0017607430875054716,-0.001343957976448143,0
2010-07-13,-0.011654488802335985,-0.012904366686782484,-0.014375167575755238,-0.01405127730986371,0.0014708008889727539,-0.0023967885075277242,0
2010-07-14,-0.014022923789314442,-0.013599114172675609,-0.016273735658484313,-0.014239885090587018,0.0026746214858087043,-0.00021696130127257676,0
2010-07-15,-0.013407347399576032,-0.012454359629189431,-0.014234796928847682,-0.014147576761586865,0.0017804372996582493,-0.0007402293620108343,0
2010-07-16,-0.011548832455231061,-0.010875191819725804,-0.009767206915822732,-0.006966080709905018,-0.001107984903903071,0.004582751745326043,0
2010-07-19,-0.0067541388195088686,-0.007062984325611074,-0.008839672360795237,-0.008426467614709433,0.001776688035184163,-0.0016723287952005652,0
2010-07-20,-0.0045541395663780855,-0.009302902571477362,-0.008027455457481382,-0.011377805329575087,-0.00127544711399598,-0.006823665763197003,0
2010-07-21,-0.01200205171929087,-0.010980923645987116,-0.010524071253796022,-0.007928926841312864,-0.00045685239219109405,0.0040731248779780046,0
2010-07-22,-0.010060324169459888,-0.012349682711019095,-0.013473328741820785,-0.013451105535107472,0.0011236460308016907,-0.003390781365647584,0
2010-07-23,-0.011640718725772622,-0.014028181241883516,-0.014368906297916699,-0.015682968121054033,0.0003407250560331838,-0.004042249395281412,0
2010-07-26,-0.015239384055674966,-0.0167108954238424,-0.01814621819368212,-0.018465279236892704,0.001435322769839722,-0.003225895181217739,0
2010-07-27,-0.0189228513861652,-0.017921540759298825,-0.0199196815727865,-0.017793825965109034,0.0019981408134876737,0.0011290254210561679,0
2010-07-28,-0.016860450655662707,-0.01649862486927611,-0.017558050031331863,-0.01539318812917973,0.001059425162055753,0.0014672625264829787,0
2010-07-29,-0.01623259669748108,-0.015586870361460529,-0.014838368653051283,-0.014247706711578963,-0.0007485017084092468,0.001984889985902116,0
2010-07-30,-0.01128248605275428,-0.013944152436147867,-0.01401294861438539,-0.014686062093250428,6.879617823752444e-05,-0.00340357604049615,0
2010-08-02,-0.016748518463786694,-0.017166432568998573,-0.019256328317737912,-0.018369801993300686,0.0020898957487393384,-0.001621283529513994,0
2010-08-03,-0.017413493177144634,-0.016421496630126767,-0.018893829474471352,-0.016845558215235198,0.0024723328443445854,0.0005679349619094355,0
2010-08-04,-0.01701913391192024,-0.017335797569389168,-0.019961320210967744,-0.019064821796663457,0.0026255226415785758,-0.0020456878847432184,0
2010-08-05,-0.0171739301715873,-0.01693410576915911,-0.020087774613805207,-0.01830373633851973,0.0031536688446460997,-0.001129806166932429,0
2010-08-06,-0.015306336169774643,-0.016639517370904102,-0.017521672287948997,-0.01814513238426633,0.0008821549170448942,-0.002838796214491685,0
2010-08-09,-0.018495988976778486,-0.01850530872045422,-0.02102451200404933,-0.019844277374026626,0.0025192032835951107,-0.0013482883972481432,0
2010-08-10,-0.016718598374896164,-0.016747619520286687,-0.018515949977872603,-0.017220112266288452,0.0017683304575859143,-0.0005015138913922873,0
2010-08-11,-0.012763324453093087,-0.011714684390652028,-0.013249423845175176,-0.01083131760158964,0.0015347394545231474,0.001932006851503449,0
2010-08-12,-0.005885088213895314,-0.008196164593028276,-0.009261067007347995,-0.009119022280048331,0.0010649024143197187,-0.0032339340661530166,0
2010-08-13,-0.007587687703837267,-0.007250985231732822,-0.010198583131497744,-0.007211784615479127,0.0029475978997649224,0.0003759030883581405,0
2010-08-16,-0.005329134864038375,-0.007486007465871999,-0.008224540573566981,-0.00788342387987216,0.0007385331076949826,-0.002554289015833785,0
2010-08-17,-0.00870947590304691,-0.010369737641510472,-0.01178486211675401,-0.01048229907937107,0.0014151244752435388,-0.0017728231763241616,0
2010-08-18,-0.009307595666270152,-0.010683166344572802,-0.012113949834369775,-0.011231690280161716,0.0014307834897969735,-0.0019240946138915623,0
